,region,total,elementary_and_secondary_edu,higher_edu,public_welfare,health_and_hospitals,highways,police,all_other,population_thousands,year
182,Rhode Island,9314.185,2168.787,616.0867,2402.8345,268.30438,450.40656,375.3898,3032.3755,1056.017,2014
183,Vermont,10827.142,2487.1677,1224.7024,2779.9775,566.4968,968.22705,329.6802,2470.8901,625.218,2014
184,Mideast,10772.919,2664.9492,784.3915,2293.8425,802.8681,578.95325,403.885,3244.0298,48865.484,2014
185,Delaware,10082.803,2046.2194,1315.3423,2243.6082,603.36523,533.73376,367.94925,2972.5852,932.596,2014
186,District of Columbia,17793.143,3666.2542,227.97893,4926.293,981.466,605.06287,912.64624,6473.4414,662.513,2014
187,Maryland,9275.276,2106.352,1025.4644,1864.6736,372.81528,519.6899,406.4745,2979.8062,5958.165,2014
188,New Jersey,9979.201,2944.0144,687.84283,1599.8774,689.16516,583.5857,387.37943,3087.3362,8866.78,2014
189,New York,12724.108,3109.1245,761.8814,2786.849,1089.1335,536.49963,477.52277,3963.0967,19656.33,2014
190,Pennsylvania,8708.688,2042.2777,763.72205,2084.4775,647.369,670.5455,277.209,2223.0876,12789.101,2014
191,Great Lakes,8115.573,1794.9397,894.3611,1692.8469,647.4622,502.8639,290.31287,2292.7866,46768.03,2014
192,Illinois,8585.818,2009.3232,731.21436,1592.8774,335.8238,603.7814,382.8295,2929.9685,12888.962,2014
193,Indiana,7276.8013,1459.4584,880.8975,1624.2332,923.84735,378.4317,182.21263,1827.7207,6593.533,2014
194,Michigan,7688.0786,1645.7537,1109.2551,1398.4854,855.4106,348.18216,241.46774,2089.524,9930.589,2014
195,Ohio,8182.62,1851.2795,814.8892,1975.2169,672.8667,464.91342,282.6219,2120.8323,11602.973,2014
196,Wisconsin,8626.151,1843.0308,1064.6764,1934.1139,618.69385,762.9737,306.7627,2095.8997,5751.974,2014
197,Plains,8396.221,1860.5045,907.268,1675.9213,806.1466,703.14124,272.63904,2170.6,20984.207,2014
198,Iowa,9145.558,1987.9952,1217.9219,1670.8218,1196.7323,781.58734,233.57777,2056.921,3109.504,2014
199,Kansas,8195.239,1874.6932,1060.3993,1261.1559,1038.324,614.052,260.71048,2085.9048,2900.896,2014
200,Minnesota,9251.651,1970.1599,857.83954,2368.9526,578.37024,772.99695,319.29285,2384.039,5451.522,2014
201,Missouri,7163.3604,1639.4648,621.01373,1419.3517,866.3351,400.69626,282.03143,1934.4673,6056.293,2014
202,Nebraska,8259.317,2082.7317,1088.1926,1392.0986,680.71454,683.71106,236.16217,2095.7063,1879.522,2014
203,North Dakota,11081.924,2064.1091,1375.7659,1563.9194,292.11725,2276.645,223.61273,3285.7542,737.382,2014
204,South Dakota,7610.734,1548.9749,798.1976,1217.6312,339.70096,1105.492,213.23114,2387.5063,849.088,2014
205,Southeast,7368.7095,1527.3947,722.72723,1446.6337,861.1212,463.62717,279.2574,2067.948,81248.95,2014
206,Alabama,8184.217,1554.4819,971.8603,1621.8792,1257.1042,471.34537,241.4058,2066.1401,4842.481,2014
207,Arkansas,7378.557,1643.4257,889.3611,1879.9677,446.60995,556.9908,217.50458,1744.6975,2967.726,2014
208,Florida,6929.002,1297.8525,500.22623,1277.4417,659.85205,504.52817,364.68164,2324.4197,19860.33,2014
209,Georgia,6502.3975,1728.9784,608.30176,1121.3932,679.6044,340.91605,238.67323,1784.5306,10069.001,2014
210,Kentucky,7700.3594,1524.0024,842.45154,1881.3447,620.2169,618.6135,181.66272,2032.0674,4414.483,2014
211,Louisiana,8661.102,1659.2848,661.34174,1746.7687,1027.682,465.78595,305.95016,2794.288,4644.204,2014
212,Mississippi,8053.6704,1472.6158,918.0007,1819.4684,1324.1669,530.6834,231.79953,1756.9355,2990.623,2014
213,North Carolina,7477.244,1339.9907,933.34216,1377.5941,1315.565,421.25888,283.86078,1805.6324,9933.944,2014
214,South Carolina,7671.9277,1641.1842,785.4381,1414.0242,1433.6921,315.1072,228.64394,1853.838,4823.793,2014
215,Tennessee,6584.6455,1408.0197,577.20245,1578.0236,616.5608,363.78433,272.75775,1768.2968,6540.826,2014
216,Virginia,8022.413,1932.8228,877.3903,1329.0968,765.7716,541.22076,269.38843,2306.7222,8312.076,2014
217,West Virginia,7972.4644,1713.0817,892.6496,2005.288,406.13214,657.9923,198.37122,2098.9497,1849.467,2014
218,Southwest,7218.487,1635.2549,960.4864,1323.9542,738.8014,455.06583,269.50937,1835.4146,39679.69,2014
219,Arizona,6451.025,1183.5292,752.11273,1322.7689,588.6888,303.79813,303.37326,1996.754,6733.84,2014
220,New Mexico,8904.101,1677.9344,1148.2834,2060.855,852.09644,512.5501,324.0001,2328.3806,2090.342,2014
221,Oklahoma,7397.0063,1528.4185,923.02325,1724.3667,592.71985,620.5761,255.80328,1752.0985,3878.367,2014
222,Texas,7253.7793,1760.0638,1003.3334,1209.5856,788.4941,464.57538,258.8047,1768.9222,26977.143,2014
223,Rocky Mountain,8002.1353,1605.2335,984.4139,1298.7938,772.826,569.1096,296.79376,2474.9646,11524.535,2014
224,Colorado,8153.9136,1642.2845,944.9389,1262.9908,767.65906,515.47534,329.33868,2691.2263,5351.218,2014
225,Idaho,6775.9546,1201.1819,626.4359,1517.5427,611.5151,541.1219,252.6499,2025.5074,1631.479,2014
226,Montana,7912.282,1684.1053,815.9941,1441.6498,470.89758,866.95746,303.87878,2328.7993,1021.891,2014
227,Utah,7243.6714,1453.7646,1245.9628,1170.207,648.94415,432.94833,244.80399,2047.0403,2937.399,2014
228,Wyoming,14023.988,3021.871,1326.198,1412.8329,2426.3425,1304.2633,371.19,4161.2896,582.548,2014
229,Far West [2],9327.802,1693.408,915.7535,1797.6727,1051.0742,482.99448,383.46747,3003.4316,52460.695,2014
230,California,9618.187,1715.6472,934.3828,1919.9318,1090.2162,462.55682,411.7691,3083.6824,38625.14,2014
231,Nevada,6384.918,1410.1068,466.96326,840.17737,461.61316,438.77466,395.24628,2372.0366,2819.012,2014
232,Oregon,9648.714,1549.7758,1098.1578,1993.6722,975.23553,530.7328,298.099,3203.041,3964.106,2014
233,Washington,8733.363,1765.5828,890.5868,1400.6407,1114.948,585.771,271.74017,2704.094,7052.439,2014
234,Alaska,19586.48,3383.1147,1262.5319,2762.0083,884.1054,2186.6587,504.95648,8603.105,736.307,2014
